Country,ID,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Sum,Average
Cura̤ao,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22074,24995,26139,28494,30159,35534,32626,32627,232648,3371.710145
Aruba,533,0,0,0,0,300,300,200,100,200,200,200,200,300,300,300,300,300,400,400,400,400,400,400,500,550,600,650,700,770,770,770,770,770,770,770,770,700,620,550,480,420,350,300,260,260,140,160,205,182,175,163,163,163,160,162,162,145,159,151,163,153,166,138,145,152,150,150,149,150,22506,326.173913
Sint Maarten,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,253,253,253,253,253,254,2025,29.34782609
New Caledonia,540,400,400,400,500,500,700,500,400,600,600,400,400,800,1200,1000,1000,900,500,500,500,500,500,500,800,868,973,883,3042,2963,2629,3349,2448,3384,2958,3670,3358,4459,5243,3962,3230,4927,4309,3437,2904,3459,2894,3195.4,2562.7,3256.3,3250.1,3482.4,3499,3457.9,3552.5,3853,3467,3333,3704.7,3919,3862,4027,3897,3790,3869,4063,4004,3822,3673,3674,167063,2421.202899
Vanuatu,548,500,500,500,600,600,900,1000,1000,1000,1000,1400,1400,1400,1500,1500,1800,1800,1800,1800,1800,2100,2200,2300,2400,2510,2610,2710,2816,2825,2819,2937,2715,2715,2542,2956,8196,16888,20078,25886,27200,41975,44367,45019,40755,47357,57904,47696,70357,75019,91433,70589,36176,44968,113867,212786.63,229553,222561,213697.2,172595,150544.3,101244.5,59315.5,63423.5,61857.4,69857.2,82190,44003.1,10461,10462,2693236.33,39032.41058
Niue,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,30,40,60,30,45,45,54,60,72,90,105,115,115,115,115,120,120,120,150,150,200,200,200,200,200,200,200,200,200,212,400,407,478,203,113,6,7,38,38,38,38,38,39,5646,81.82608696
Northern Mariana Is.,580,0,0,0,0,0,0,0,100,100,100,100,150,150,150,150,200,200,200,200,200,150,150,150,150,150,150,150,150,150,145,143,143,98,245,345,241,311,218,227,258,175,133,153,147,178,193,249,264,255,192,336,406,296,172,169,214,221,219,168,192,243,186,222,942,1169,1082,1022,1041,1042,17005,246.4492754
"Micronesia, Fed.States of",583,0,0,0,0,100,100,100,300,300,400,400,500,500,600,600,700,800,1000,1000,1000,1500,1500,1500,1500,1500,1500,1500,1503,1505,1505,1720,1720,1777,1777,1777,3564,3864,3766,2973,2266,2367,12552,16740,18168,22310,8082,8808,9781,15807,12589,23460,19471,22926,33753,31972,32361,15442,20873,25445,28606,31526,37345,47853,36320,52706,71707,88397,98931,98932,993847,14403.57971
Marshall Islands,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,160,160,200,200,220,320,400,395,380,300,329,488,388,375,2772,400,500,700,8261,36581,39859,38885,47887,57583,43974,61230,35103,46316,59751,93272,75388,80624,78743,89742,64795,70572,70573,1109526,16080.08696
Palau,585,300,300,300,300,400,400,400,400,500,500,500,500,600,600,1866,3370,3386,4106,5756,5462,8882,2943,2319,3150,7608,7069,6136,4883,10602,6699,7516,10276,5053,1041,1037,1204,1132,1187,1268,1347,1075,1092,1499,1236.636,1085,1414.09,1068.45,911,951,960,1271,1084,1027,1047,1079,1430.9,967,1141.82,1168.2,1034,967,1000.2,905,887,864,848,818,812,813,151754.296,2199.337623
Papua New Guinea,598,6000,6000,6000,8800,9000,9000,11000,10800,10500,12300,12200,12200,13100,15200,15200,15800,15300,15400,15800,16500,15628,30668,27271,45600,50027,34774,50671,27555,52224,34488,44620,46509,17589,15387,17663,25921,25815,26072,26519,26090,26555,26090,26530,25936.685,26451.316,39421.658,38009.447,46448.431,78596.55,55875.37,110108.376,125263.881,141600.417,177328.565,242999.371,254573.484,253548.699,247890.152,222826.506,230659.729,226361.944,185441.745,257626.36,214017.47,257244.47,234977.47,309244.47,324723,324724,5608265.566,81279.2111
Guinea-Bissau,624,300,300,300,400,400,600,600,600,500,600,700,700,600,600,800,900,700,700,1300,1400,1500,1400,1700,1700,1700,1669,3575,4275,4283,2936,4166,3643,3977,2671,2751,3743,3700,4100,4690,5400,5400,5000,5200,5350,6000,6328,7000,7200,6700,6200,6315,6848,7324,6153,6650,6983,7067,6500,6804,6721,6584,6549,6829,6707,6700,6700,6700,6700,6701,264492,3833.217391
Timor-Leste,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,3621,3561,3720,3850,4000,3650,3300,2911,3243,3200,3200,3200,3200,3200,3200,3200,3200,3200,3201,67258,974.7536232
Puerto Rico,630,2100,2500,2500,2400,2500,2600,2700,2700,2800,2900,3100,3100,3300,3300,2900,2800,2500,2500,2200,2200,2100,2200,2100,2000,2000,2275,2663,2881,3197,3597,2557,1784,2202,2655,2354,1496,1327,1191,1611,1867,1949,2115,2046,2162,2583,3749,3043,3672,3785,3799,5454,5043,3237,3786,3342,3561,2806,2305,2423,2312,2593,2024,1861,2002,2057,2148,1901,1606,1607,178628,2588.811594
Saint Kitts and Nevis,659,300,300,300,400,400,500,400,500,500,600,600,600,600,700,700,700,800,800,800,800,1000,1000,1000,1000,1000,1218,1684,1695,1790,1777,1935,1900,1930,1177,1115,995,901,924,800,710,620,450,300,250,357,339,687,418,967,933,970,1039,949,873,1111,1516,1179,1275,1342,2064,21754,31071,21887,17717,66142,100398,65769,85457,85458,550143,7973.086957
Anguilla,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,196,196,196,246,246,246,323,323,323,353,373,373,537,500,470,434,397,372,463,364,371,379,433,458,483,508,538,563,588,613,638,663,688,713,739,617,620,884,981,788,876,780,684,758,759,23453,339.8985507
Saint Lucia,662,300,300,300,400,400,400,500,500,500,500,600,600,600,600,800,800,900,1000,1100,1100,1419,1519,1519,1627,1700,2000,2200,2500,2600,1024,969,891,921,910,946,1052,840,651,791,807,948,1016,1107,1395,1345,1343,1402,1416,1709,1900,2027,2160,1895,1668,1706,1590,1647,1732,1895,2066,1964,1811,1944,1991,1982,2030,2117,2091,2092,89075,1290.942029
Saint-Martin,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,90,90,91,1081,15.66666667
Saint Vincent/Grenadines,670,300,300,300,400,400,500,600,600,600,600,400,400,400,500,500,500,500,500,400,500,600,300,300,200,283,549,379,581,698,547,500,500,500,480,480,483,599,703,4647,5820,9022,8167,2171,2240,3922,1033,989,6145,34108,17804,22799,31944,46076,37767,78315,44104,51584,63309,55898,59587,66367,76576,10185,39507,81384,26167,22743,32985,32986,994233,14409.17391
Sao Tome and Principe,678,600,500,500,300,300,500,400,400,600,500,500,700,600,500,800,900,800,900,800,800,800,900,800,800,600,600,646,889,1175,1618,1847,2158,2688,4012,4444,3988,2833,2798,3391,3575,3867,2576,2406,2845,4106,4300,4620,3546,3600,3650,3700,3692,3820,4005,4141,4197,4323,4449,4575,4701,4837,6100,7400,8700,10000,11441,11719,10808,10809,211395,3063.695652
Seychelles,690,1000,1000,1000,1500,1500,1500,1500,1800,1800,1800,1800,2000,2000,2000,2000,2000,2500,2500,2500,2500,3000,3000,3000,3000,3500,3950,4010,4600,5400,4957,4676,5221,4045,3938,3734,4118,4542,3900,4343,4412,5437,8150,6663,5178,4469,4008,4707,14043,23886,34223,32778,53591,63383,86020,100671,108680,92739,65514,69199,81114,87111,75481,68687,74127,75116,104984,127128,142765,142766,1880164,27248.75362
Singapore,702,4000,4000,5000,5000,5000,6200,9600,13800,12300,11500,9200,9700,11500,12500,10400,11000,18500,18200,17300,17000,18300,15200,15600,18500,19236,17560,16397,15105,16110,16868,15991,16022,19076,19267.6,25140.6,22692.9,20157,15053,13281,10668,11491,11099,9201,9304,11301,10102,9943,9250,7733,6489,5371,3342,2769,2085,2173,1920,3103,3522,1623,2121,1732,1618,1969,1645,1433,1265,1234,1110,1111,694984.1,10072.23333
Suriname,740,800,1000,1000,2380,2680,3410,4210,2720,3950,3950,4510,7300,5350,5550,5910,6610,6580,6510,7600,9900,11750,10400,12120,11610,10501,12262,5993,6897,4474,4535,4046,4620,3796,4520,5095,4909,4540,6626,4602,7786,7670,8186,11269,9577,14765,14300,16177,16617,21577,24247,24238,28557,30705,35594,32872,29620,31921,30901,24132,26143,35085,35490,39264,39369,38428,44705,47013,46980,46981,1045385,15150.50725
Tokelau,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,150,150,150,200,200,200,220,231,191,200,200,200,200,200,190,180,160,140,128,113,103,96,86,78,68,62,54,54,248,198,105,198,198,86,87,6724,97.44927536
Tonga,776,200,200,200,200,300,300,300,300,300,300,400,400,400,400,400,500,500,500,500,500,400,500,500,600,726,901,1019,1197,1210,2000,1994,2093,2134,2237,2385,2561,2814,2790,2731,2699,1644,1935,2237,2375,2499,2727,2955,2924,4166,4694,4231,4947,5260,4754,3352,2566,2882,2727,2293,1955,2076,2080,2287,1845,1920,1789,1664,1400,1401,120176,1741.681159
Trinidad and Tobago,780,1000,1000,1000,1100,1500,1600,1600,1700,1700,2000,2400,2400,2400,2400,2400,3000,3000,3200,3400,3400,3600,4100,3700,4000,3725,4417,4417,4303,4823,3840,4461,3804,4574,4541,3764,5560,4347,7714,9211,11466,12362,11501,13000,8998,14046,11500,9435,11283,14846,14694,14237,16598,18768,14592,14713,16996,13123,13463,13833,13863,13930,13114,11747,13217,13290,12141,13116,12942,12943,530858,7693.594203
Turks and Caicos Is.,796,730,730,730,730,730,730,730,730,730,730,830,830,1360,1460,1460,1460,1460,1560,1560,1560,1230,1230,1430,1430,1759,3299,4064,2464,3609,4662,3598,2628,2734,3967,3547,4608,5266,2582,3635,3868,2768,3298,3079,4631,4345,5577,5494,4166,4215,4570,3688,4275,4733,4096,3821,4274,4105,4458,3544,4257,4826,3964,2818,2353,1469,1505,1783,2105,2106,188773,2735.84058
Tuvalu,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,150,180,429,784,840,313,660,933,1409,519,518,526,499,1460,561,399,400,500,500,500,500,500,600,1500,2450,2560,3160,3770,4380,5228,11466,11851,17619,12923,7379,6147,7684,7488,7489,126954,1839.913043
US Virgin Islands,850,200,200,200,300,300,300,300,400,400,400,500,500,500,500,500,500,600,600,600,600,600,600,500,500,500,503,500,602,557,547,688,618,891,615,697,612,932,894,694,805,702,904,940,1000,1070,1170,1240,1310,1480,1549,1673,1738,1796,1867,1970,1634,2213,1458,1314,1393,1040,1003,611,537,484,378,551,464,465,55209,800.1304348
Samoa,882,300,300,300,400,400,400,400,500,500,500,500,600,600,600,600,600,700,700,700,700,900,900,900,900,900,1000,1100,1250,1090,1890,1990,3095,4020,3820,3720,3641,3186,3076,2500,2530,1505,1595,2436,1986,2591,4094,4410,7867,9364,8562,8595,8613,10881,9703,9934,9836,12435,14091,13899,13279,12840,11452,11901,11201,7501,8699,8801,10854,10855,302488,4383.884058
